Date		Distance	Duration	Heartbeat
2014-05-27	 2,658.64	0:15:44		150
2014-05-28	 2,617.55	0:13:05		167
2014-05-29	 2,055.05	0:13:17		145
2014-05-30	 2,053.04	0:14:01		140
2014-05-31	 2,052.48	0:15:19		138
2014-06-01	 2,045.47	0:12:49		160
2014-06-02	 2,043.77	0:12:13		165
2014-06-03 	 2,024.12  	0:14:29		148
2014-06-04	 4,388.62	0:22:52		184
2014-06-05	 2,001.12	0:12:57		148
2014-06-06 	 2,631.75  	0:16:16		165
2014-06-07	 7,352.72  	0:48:57		159
2014-06-08	 2,602.39	0:16:09		153
2014-06-09	 4,098.60	0:24:27		155
2014-06-10	 2,964.48	0:20:03		149
2014-06-11	 2,575.95	0:15:33		154
2014-06-12	 2,136.84	0:12:57		152
2014-06-13	 2,574.66	0:15:56		151
2014-06-14	 2,375.27	0:14:25		151
2014-06-15	 7,202.47	0:49:11		150
2014-06-16	 2,573.04	0:21:08		146
2014-06-17	 4,001.51	0:23:41		159
2014-06-18	 3,018.85	0:17:56		162
2014-06-19	 2,672.00	0:16:44		146
2014-06-20	 2,598.30	0:14:53		161
2014-06-21	 2,638.76	0:15:09		145
2014-06-22	 4,321.18	0:27:34		145
2014-06-23	19,216.22	2:12:04		155
2014-06-24	 2,553.28	0:19:37		130
2014-06-25	 2,543.55	0:13:25		159
2014-06-26	 3,994.84	0:23:23		157
2014-06-27	 7,448.10	0:45:47		159
2014-06-28	 2,538.22	0:12:08		163
2014-06-29	 7,494.10	0:42:49		163
2014-06-30	 2,600.99	0:14:41		155
2014-07-01	 3,010.87	0:18:46		158
2014-07-02	 5,603.18	0:40:41		144
2014-07-03	 3,713.48	0:24:42		146
2014-07-04	 2,517.87	0:17:09		138
2014-07-05	11,866.11	1:12:23		168
2014-07-06	 2,036.81	0:12:49		151
2014-07-07	 9,704.98	0:57:20		161
2014-07-08	 2,567.48	0:13:55		164
2014-07-09	 5,946.40	0:34:04		163
2014-07-10	 3,786.60	0:21:55		156
2014-07-11	 6,183.60	0:43:53		136
2014-07-12	 3,982.09	0:23:05		159
2014-07-13	 2,645.41	0:14:48		154
2014-07-14	 2,245.36	0:15:41		167
2014-07-15	 4,061.97	0:24:13		169
2014-07-16	 5,183.42	0:34:19		148
2014-07-17	 4,128.50	0:25:48		151
2014-07-18	 2,451.70	0:14:55		148
2014-07-19	 2,874.50	0:17:25		149
2014-07-20	 4,055.50	0:25:19		153
2014-07-21	 2,554.47	0:15:32		154
2014-07-22	 2,634.98	0:16:41		148
2014-07-23	 2,881.30	0:17:58		149
2014-07-24	 4,062.03	0:23:24		157
2014-07-25	 3,968.98	0:24:57		161
2014-07-26	 3,135.78	0:19:33		147
2014-07-27	 7,147.97	0:45:52		150
2014-07-28	 4,013.84	0:26:37		156
2014-07-29	 5,702.09	0:39:59		156
2014-07-30	 2,653.08	0:17:08		150
2014-07-31	 2,949.87	0:17:38		156
2014-08-01	 2,610.32	0:15:53		155
2014-08-02	 2,621.09	0:17:07		146
2014-08-03	 5,699.86	0:35:47		158
2014-08-04	 3,253.09	0:19:41		166
2014-08-05	 2,564.95	0:15:34		148
2014-08-06	 5,280.18	0:31:59		159
2014-08-07	 3,798.81	0:24:21		159
2014-08-08	 2,476.30	0:15:51		138
2014-08-09	 3,116.09	0:29:20		131
2014-08-10	 2,121.98	0:13:38		149
2014-08-11	 2,713.52	0:16:40		152
2014-08-12	 2,031.67	0:12:11		154
2014-08-13	 4,035.26	0:24:07		160
2014-08-14	 6,164.07	0:42:05		142
2014-08-15	 3,017.49	0:15:40		167
2014-08-16	 2,643.25	0:14:16		159
2014-08-17	 2,074.17	0:11:43		160
2014-08-18	 2,570.93	0:14:40		167
2014-08-19	 7,161.74	0:45:23		165
2014-08-20	 7,135.65	0:40:46		168
2014-08-21	 4,034.46	0:21:24		175
2014-08-22	 3,082.09	0:20:34		159
2014-08-23	 2,573.77	0:14:31		163
2014-08-24	 9,809.31	0:54:20		170
2014-08-25	 2,501.04	0:13:36		163
2014-08-26	 2,681.81	0:13:10		161
2014-08-27	 2,723.02	0:16:26		157
2014-08-28	 2,671.68	0:18:29		134
2014-08-29	 3,824.27	0:24:08		145
2014-08-30	 2,082.77	0:13:20		145
2014-08-31	 2,936.91	0:23:58		125
2014-09-01	 4,017.74	0:24:43		157
2014-09-02	 2,636.69	0:14:13		169
2014-09-03	 2,461.66	0:12:52		163
2014-09-04	 2,038.66	0:12:27		156
2014-09-05	 2,583.26	0:15:06		159
2014-09-06	 7,190.41	0:44:32		162
2014-09-07	 2,548.08	0:16:10		150
2014-09-09	 5,050.20	0:28:03		165
2014-09-10	 5,663.48	0:34:20		153
2014-09-11	 2,595.83	0:14:22		157
2014-09-12	 2,592.79	0:13:48		167
2014-09-13	11,522.30	1:11:19		161
2014-09-14	 2,556.58	0:15:16		154
2014-09-15	 4,015.84	0:23:51		158
2014-09-16	 5,674.38	0:32:52		161
2014-09-17	 2,562.83	0:15:18		157
2014-09-18	 2,627.85	0:15:06		160
2014-09-19	 2,008.89	0:10:37		164
2014-09-20	 2,543.52	0:13:17		162
2014-09-21	 7,034.25	0:44:14		169
2014-09-22	 5,419.32	0:34:32		164
2014-09-23	 2,568.83	0:14:32		150
2014-09-24	 4,074.64	0:23:43		159
2014-09-25	 2,496.33	0:13:25		160
2014-09-26	 2,488.59	0:15:26		154
2014-09-27	 2,652.54	0:14:24		167
2014-09-28	 2,594.54	0:16:22		146
2014-09-29	 2,109.47	0:11:42		156
2014-09-30	 2,054.41	0:11:42		153
2014-10-01	 2,639.02	0:16:52		146
2014-10-02	 3,115.81	0:18:20		153
2014-10-03	 2,115.10	0:12:08		159
2014-10-04	 4,087.78	0:25:19		161
2014-10-05	 2,611.53	0:15:41		150
2014-10-06	 2,533.46	0:14:23		164
2014-10-07	 2,501.65	0:28:23		112
2014-10-08	 2,550.62	0:15:29		151
2014-10-09	 4,100.21	0:25:56		165
2014-10-10	 2,438.38	0:13:54		166
2014-10-11	 2,858.60	0:17:30		154
2014-10-12	 7,138.93	0:43:08		167
2014-10-13	 2,041.23	0:12:19		156
2014-10-14	 2,619.19	0:13:56		160
2014-10-15	 3,055.71	0:18:00		162
2014-10-16	 5,731.15	0:35:59		161
2014-10-17	 2,557.11	0:13:59		158
2014-10-18	 2,486.11	0:14:11		159
2014-10-19	10,041.76	1:00:06		168
2014-10-20	 4,991.09	0:29:21		164
2014-10-21	 2,660.44	0:14:16		174
2014-10-22	 2,224.09	0:11:43		167
2014-10-23	 2,217.55	0:13:58		171
2014-10-24	 2,501.17	0:17:01		146
2014-10-25	 2,626.25	0:17:37		138
2014-10-26	 2,200.44	0:14:34		133
2014-10-27	 2,564.02	0:15:41		154
2014-10-28	 2,445.19	0:14:07		164
2014-10-29	 2,334.95	0:18:51		135
2014-10-30	 2,929.61	0:17:55		152
2014-10-31	 2,593.03	0:14:29		151
2014-11-01	 6,003.73	0:31:39		180
2014-11-02	 3,323.01	0:19:00		154
2014-11-03	 2,173.19	0:11:33		167
2014-11-04	 2,609.98	0:15:40		155
2014-11-05	 2,654.66	0:15:59		159
2014-11-06	 2,824.03	0:17:42		152
2014-11-07	 4,004.58	0:25:21		164
2014-11-08	 2,496.57	0:15:34		147
2014-11-09	 6,510.55	0:43:04		152
2014-11-10	 2,878.13	0:16:49		154
2014-11-11	 2,789.03	0:17:43		145
2014-11-12	 2,561.21	0:14:19		156
2014-11-13	 2,766.93	0:17:17		148
2014-11-14	 4,131.03	0:23:24		166
2014-11-15	 2,287.88	0:13:19		155
2014-11-16	 2,743.86	0:21:54		132
2014-11-17	 4,035.21	0:21:38		166
2014-11-18	 2,606.73	0:13:08		168
2014-11-19	 4,378.14	0:31:43		144
2014-11-20	 2,786.70	0:15:44		156
2014-11-21	 2,858.31	0:15:55		158
2014-11-22	 5,681.04	0:35:05		160
2014-11-23	 2,652.99	0:14:34		164
2014-11-24	 2,631.89	0:13:51		165
2014-11-25	 1,835.59	0:10:02		164
2014-11-26	 5,514.10	0:30:33		160
2014-11-27	 2,460.95	0:12:47		160
2014-11-28	 2,839.16	0:17:07		158
2014-11-29	 2,414.25	0:13:47		157
2014-11-30	 2,066.72	0:11:28		152
2014-12-01	 2,046.20	0:10:02		151
